Player,height,weight,college,born,birth_city,birth_state
Marv Winkler,185,74,University of Louisiana at Lafayette,1948,,
Gary Zeller,190,92,Drake University,1947,,
Bill Zopf,185,77,Duquesne University,1948,,
Odis Allison,198,88,"University of Nevada, Las Vegas",1949,,
Vic Bartolome,213,104,Oregon State University,1948,,
Fred Brown,190,82,University of Iowa,1948,Milwaukee,Wisconsin
Austin Carr,193,90,University of Notre Dame,1948,Washington,District of Columbia
Sid Catlett,198,104,University of Notre Dame,1948,,
Phil Chenier,190,81,University of California,1950,Berkeley,California
Jim Cleamons,190,83,Ohio State University,1949,Lincolnton,North Carolina
Charlie Davis,188,72,Wake Forest University,1949,New York,New York
Jackie Dinkins,196,95,Voorhees College,1950,,
Ken Durrett,201,86,La Salle University,1948,Pittsburgh,Pennsylvania
Dick Gibbs,196,95,University of Texas at El Paso,1948,Ames,Iowa
Clarence Glover,203,95,Western Kentucky University,1947,Horse Cave,Kentucky
Jeff Halliburton,196,87,Drake University,1949,,
Fred Hilton,190,83,Grambling State University,1948,,
Jake Jones,190,81,Assumption College,1949,,
Mo Layton,185,81,University of Southern California,1948,Newark,New Jersey
Stan Love,206,97,University of Oregon,1949,Los Angeles,California
Charlie Lowery,190,83,University of Puget Sound,1949,,
Jim Marsh,201,97,University of Southern California,1946,,
Jim McDaniels,211,103,Western Kentucky University,1948,Scottsville,Kentucky
Gil McGregor,203,108,Wake Forest University,1949,,
Kenny McIntosh,201,102,Eastern Michigan University,1949,Detroit,Michigan
Cliff Meely,203,97,University of Colorado,1947,Rosedale,Mississippi
Dean Meminger,183,79,Marquette University,1948,Walterboro,South Carolina
John Mengelt,188,88,Auburn University,1949,Lacrosse,Wisconsin
Barry Nelson,208,104,Duquesne University,1949,,
Mike Newlin,193,90,University of Utah,1949,Portland,Oregon
Willie Norwood,201,99,Alcorn State University,1947,Carrolton,Mississippi
Steve Patterson,206,102,"University of California, Los Angeles",1948,Riverside,California
Tom Payne,218,108,University of Kentucky,1950,,
Howard Porter,203,99,Villanova University,1948,Stuart,Florida
Clifford Ray,206,104,University of Oklahoma,1949,Union,South Carolina
Jackie Ridgle,193,88,University of California,1948,Altheimer,Arkansas
Rich Rinaldi,190,88,Saint Peter's College,1949,,
Curtis Rowe,201,102,"University of California, Los Angeles",1949,Bessemer,Alabama
Charlie Scott,196,79,University of North Carolina,1948,New York,New York
Elmore Smith,213,113,Kentucky State University,1949,Macon,Georgia
Randy Smith,190,81,State University of New York College at Buffalo,1948,Bellport,New York
William Smith,213,99,Syracuse University,1949,,
Larry Steele,196,81,University of Kentucky,1949,Greencastle,Indiana
George Trapp,203,92,"California State University, Long Beach",1948,Detroit,Michigan
Sidney Wicks,203,102,"University of California, Los Angeles",1949,Los Angeles,California
Nate Williams,196,97,Utah State University,1950,Columbia,Louisiana
Isaiah Wilson,188,79,University of Baltimore,1948,Philadelphia,Pennsylvania
Dave Wohl,188,83,University of Pennsylvania,1949,Flushing,New York
Barry Yates,201,97,University of Maryland,1946,,
Charlie Yelverton,188,86,Fordham University,1948,,
Henry Bibby,185,83,"University of California, Los Angeles",1949,Franklinton,North Carolina
Freddie Boyd,188,81,Oregon State University,1950,Bakersfield,California
Steve Bracey,185,79,University of Tulsa,1950,Brooklyn,New York
John Brisker,196,95,University of Toledo,1947,Detroit,Michigan
Roger Brown,196,92,University of Dayton,1942,Brooklyn,New York
Corky Calhoun,201,95,University of Pennsylvania,1950,Waukegan,Illinois
Bob Davis,201,97,Weber State University,1950,,
Dwight Davis,203,99,University of Houston,1949,Houston,Texas
Mickey Davis,190,83,Virginia Union University,1946,Brooklyn,New York
Charles Dudley,188,81,University of Washington,1950,Harrisburg,Pennsylvania
Scott English,198,92,University of Texas at El Paso,1950,Evanston,Illinois
Chris Ford,196,86,Villanova University,1949,Atlantic City,New Jersey
Harold Fox,188,79,Jacksonville University,1949,,
Rowland Garrett,198,95,Florida State University,1950,Canton,Mississippi
John Gianelli,208,99,University of the Pacific,1950,Stockton,California
Travis Grant,201,97,Kentucky State University,1950,Clayton,Alabama
Luther Green,201,86,Long Island University,1946,New York,New York
Charles Johnson,183,77,University of California,1949,Corpus Christi,Texas
Ollie Johnson,198,90,Temple University,1949,Philadelphia,Pennsylvania
Manny Leaks,203,102,Niagara University,1945,Cleveland,Ohio
Russ Lee,196,83,Marshall University,1950,Boston,Massachusetts
LaRue Martin,211,94,Loyola University of Chicago,1950,Chicago,Illinois
Bob McAdoo*,206,95,University of North Carolina,1951,Greensboro,North Carolina
Paul McCracken,193,81,"California State University, Northridge",1950,New York,New York
Eric McWilliams,203,90,"California State University, Long Beach",1950,Denver,Colorado
Mark Minor,198,97,Ohio State University,1950,,
Bob Nash,203,88,University of Hawaii,1950,Hartford,Connecticut
Lloyd Neal,201,102,Tennessee State University,1950,Talbottom,Georgia
Tom Patterson,198,99,Ouachita Baptist University,1948,,
Kevin Porter,183,77,Saint Francis University,1950,Chicago,Illinois
Jim Price,190,88,University of Louisville,1949,Russellville,Kentucky
Mike Ratliff,208,104,University of Wisconsin-Eau Claire,1951,New Albany,Mississippi
Tom Riker,208,102,University of South Carolina,1950,Rockville Centre,New York
Ron Riley,203,88,University of Southern California,1950,Los Angeles,California
Frank Russell,190,81,University of Detroit Mercy,1949,,
Frank Schade,185,77,University of Wisconsin-Eau Claire,1950,Wausau,Wisconsin
Sam Sibert,201,97,Kentucky State University,1949,,
Bud Stallworth,196,86,University of Kansas,1950,Hartselle,Alabama
Paul Stovall,193,97,Arizona State University,1948,,
Chuck Terry,198,97,"California State University, Long Beach",1950,Long Beach,California
Justus Thigpen,185,72,Weber State University,1947,,
John Tschogl,198,93,"University of California, Santa Barbara",1950,Chula Vista,California
Paul Westphal,193,88,University of Southern California,1950,Torrance,California
Harthorne Wingo,198,95,Friendship Junior College,1947,Tryon,North Carolina
Joby Wright,203,99,Indiana University,1950,,
Mike Bantom,206,90,Saint Joseph's University,1951,Philadelphia,Pennsylvania
Ron Behagen,206,83,University of Minnesota,1951,New York,New York
Dennis Bell,196,83,Drake University,1951,Cincinnati,Ohio
Jim Brewer,206,95,University of Minnesota,1951,Maywood,Illinois
Allan Bristow,201,95,Virginia Polytechnic Institute and State University,1951,Richmond,Virginia
John Brown,201,99,University of Missouri,1951,Frankfurt,Germany
Larry Cannon,193,88,La Salle University,1947,Philadelphia,Pennsylvania
Bill Chamberlain,198,85,University of North Carolina,1949,,
Ken Charles,190,81,Fordham University,1951,Trinidad and Tobago,
E.C. Coleman,190,81,,1951,,
Doug Collins,198,81,Illinois State University,1951,Christopher,Illinois
Mike D'Antoni,190,83,Marshall University,1951,Mullens,West Virginia
Mel Davis,198,99,St. John's University,1950,New York,New York
Derrek Dickey,201,98,University of Cincinnati,1951,Cincinnati,Ohio
Ernie DiGregorio,183,81,Providence College,1951,North Providence,Rhode Island
Steve Downing,203,102,Indiana University,1950,Indianapolis,Indiana
Rod Freeman,201,102,Vanderbilt University,1950,,
Bernie Fryer,190,83,Brigham Young University,1949,Bellingham,Washington
Jim Garvin,201,90,Boston University,1950,,
Phil Hankinson,203,88,University of Pennsylvania,1951,Augusta,Georgia
Nate Hawthorne,193,86,Southern Illinois University,1950,Mt. Vernon,Illinois
Tom Ingelsby,190,81,Villanova University,1951,Philadelphia,Pennsylvania
Dwight Jones,208,95,University of Houston,1952,Houston,Texas
Ben Kelso,190,88,Central Michigan University,1949,,
Tom Kozelko,203,99,University of Toledo,1951,Traverse City,Michigan
Kevin Kunnert,213,104,University of Iowa,1951,Dubuque,Iowa
Mike Macaluso,196,95,Canisius College,1951,,
Ted Manakas,188,81,Princeton University,1951,,
Vester Marshall,201,90,University of Oklahoma,1948,,
Allie McGuire,188,81,St. John's University,1928,New York,New York
Larry McNeill,206,88,Marquette University,1951,Hoke,North Carolina
Gary Melchionni,188,83,Duke University,1951,Camden,New Jersey
Louie Nelson,190,86,University of Washington,1951,Los Angeles,California
Jim Owens,196,90,Arizona State University,1950,Los Angeles,California
Ed Ratleff,198,88,"California State University, Long Beach",1950,Bellefontaine,Ohio
Joe Reaves,196,95,Bethel College,1950,,
Mark Sibley,188,79,Northwestern University,1950,,
Bob Verga,185,86,Duke University,1945,Neptune,New Jersey
Kermit Washington,203,104,American University,1951,Washington,District of Columbia
Slick Watts,185,79,Xavier University of Louisiana,1951,Rolling Ford,Mississippi
Nick Weatherspoon,201,88,University of Illinois at Urbana-Champaign,1950,Greenwood,Mississippi
Luke Witte,213,106,Ohio State University,1950,Philadelphia,Pennsylvania
Dan Anderson,208,104,Augsburg College,1943,Minneapolis,Minnesota
Jim Ard,203,97,University of Cincinnati,1948,Harvey,Illinois
Gus Bailey,196,83,University of Texas at El Paso,1951,Gibson,North Carolina
Leon Benbow,193,83,Jacksonville University,1950,Columbia,South Carolina
Ken Boyd,196,88,Boston University,1952,Frederick,Maryland
Gary Brokaw,193,80,University of Notre Dame,1954,New Brunswick,New Jersey
Tom Burleson,218,102,North Carolina State University,1952,Crossnore,North Carolina
Harvey Catchings,206,98,Hardin-Simmons University,1951,Jackson,Mississippi
Jim Chones,211,99,Marquette University,1949,Racine,Wisconsin
Ben Clyde,201,89,Florida State University,1951,Albany,Georgia
Jesse Dark,196,95,Virginia Commonwealth University,1951,Richmond,Virginia
Rod Derline,183,79,Seattle University,1952,Elma,Washington
John Drew,198,92,Gardner-Webb University,1954,Vredenburgh,Alabama
Dennis DuVal,190,79,Syracuse University,1952,Westbury,New York
Al Eberhard,198,102,University of Missouri,1952,Cedar Rapids,Iowa
Leonard Gray,203,108,"California State University, Long Beach",1951,Kansas City,Kansas
Bernie Harris,208,90,Virginia Commonwealth University,1950,Roanoke,Virginia
Steve Hawes,206,99,University of Washington,1950,Seattle,Washington
Tom Henderson,190,86,University of Hawaii,1952,Newberry,South Carolina
Greg Jackson,183,81,Guilford College,1952,Brooklyn,New York
Wardell Jackson,201,90,Ohio State University,1951,Yazoo City,Mississippi
Aaron James,203,95,Grambling State University,1952,New Orleans,Louisiana
Mickey Johnson,208,86,Aurora University,1952,Chicago,Illinois
Jimmy Jones,193,85,Grambling State University,1945,Tallulah,Louisiana
Frank Kendrick,198,89,Purdue University,1950,Indianapolis,Indiana
Len Kosmalski,213,111,University of Tennessee,1951,Cleveland,Ohio
Bill Ligon,193,81,Vanderbilt University,1952,Nashville,Tennessee
Phil Lumpkin,183,74,Miami University,1951,Dayton,Ohio
Glenn McDonald,198,86,"California State University, Long Beach",1952,Kewanee,Illinois
Eric Money,183,77,University of Arizona,1955,Detroit,Michigan
Connie Norman,190,79,University of Arizona,1953,Detroit,Michigan
Kevin Restani,206,102,University of San Francisco,1951,San Francisco,California
Truck Robinson,201,102,Tennessee State University,1951,Jacksonville,Florida
Campy Russell,196,98,University of Michigan,1944,Chicago,Illinois
Fred Saunders,201,95,Syracuse University,1951,Columbus,Ohio
Tal Skinner,196,88,University of Maryland Eastern Shore,1952,Berlin,Maryland
Don Smith,188,86,University of Minnesota,1920,Minnesota,
Phil Smith,193,83,University of San Francisco,1952,San Francisco,California
Mike Sojourner,206,102,University of Utah,1953,Philadelphia,Pennsylvania
Kevin Stacom,190,83,Providence College,1951,New York,New York
George Thompson,188,90,Marquette University,1947,Brooklyn,New York
Dean Tolson,203,86,University of Arkansas,1951,Kansas City,Missouri
Foots Walker,183,83,State University of West Georgia,1951,Southampton,New York
Bill Walton*,211,95,"University of California, Los Angeles",1952,La Mesa,California
Perry Warbington,188,74,Georgia Southern University,1952,Atlabta,Georgia
Stan Washington,193,86,University of San Diego,1952,Washington,District of Columbia
Scott Wedman,201,97,University of Colorado,1952,Harper,Kansas
Owen Wells,201,90,University of Detroit Mercy,1950,Providence,Rhode Island
Jamaal Wilkes*,198,86,"University of California, Los Angeles",1953,Berkeley,California
Earl Williams,201,104,Winston-Salem State University,1951,Levittown,Pennsylvania
Bobby Wilson,193,83,West Virginia State University,1926,,
Brian Winters,193,83,University of South Carolina,1952,Rockaway,New York
Alvan Adams,206,95,University of Oklahoma,1954,Lawrence,Kansas
Jerome Anderson,196,88,West Virginia University,1953,Mullens,West Virginia
Jerry Baskerville,201,86,Temple University,1951,Philadelphia,Pennsylvania
Bob Bigelow,201,97,University of Pennsylvania,1953,Boston,Massachusetts
Tom Boswell,206,99,University of South Carolina,1953,Montgomery,Alabama
Junior Bridgeman,196,95,University of Louisville,1953,East Chicago,Indiana
Joe Bryant,206,83,La Salle University,1954,Philadelphia,Pennsylvania
Al Carlson,211,106,University of Oregon,1951,Oceanside,California
Jim Creighton,203,90,University of Colorado,1950,Billings,Montana
Darryl Dawkins,211,113,,1957,Orlando,Florida
Henry Dickerson,193,86,University of Charleston,1951,Berkley,West Virginia
Eric Fernsten,208,92,University of San Francisco,1953,Oakland,California
Larry Fogle,196,92,Canisius College,1953,Brooklyn,New York
Don Ford,206,97,"University of California, Santa Barbara",1952,Santa Barbara,California
World B.,206,97,,1952,,
Donnie Freeman,190,83,University of Illinois at Urbana-Champaign,1944,Madison,Illinois
Kevin Grevey,196,95,University of Kentucky,1953,Hamilton,Ohio
Bob Gross,198,90,"California State University, Long Beach",1953,San Pedro,California
Lindsay Hairston,201,81,Michigan State University,1951,Detroit,Michigan
Glenn Hansen,193,92,Louisiana State University,1952,Devils Lake,North Dakota
Robert Hawkins,193,86,Illinois State University,1954,Detroit,Michigan
Wilbur Holland,183,79,University of New Orleans,1951,Columbus,Georgia
Lionel Hollins,190,83,Arizona State University,1953,Ark City,Kansas
Steve Jones,196,92,University of Oregon,1942,Alexandria,Louisiana
Rich Kelley,213,106,Stanford University,1953,San Mateo,California
Tom Kropp,190,92,University of Nebraska at Kearney,1953,Grand Island,Nebraska
C.J. Kupec,190,92,,1953,,
John Lambert,208,102,University of Southern California,1953,Berkeley,California
John Laskowski,198,83,Indiana University,1953,South Bend,Indiana
Greg Lee,190,86,"University of California, Los Angeles",1951,Reseda,California
Clyde Mayes,203,102,Furman University,1953,Greenville,South Carolina
Ken Mayfield,188,83,Tuskegee University,1948,Chicago,Illinois
Jim McElroy,190,86,Central Michigan University,1953,Cotton Plant,Arkansas
George McGinnis,203,106,Indiana University,1950,Indianapolis,Indiana
Tom McMillen,211,97,University of Maryland,1952,Elmira,New York
Joe Meriweather,208,97,Southern Illinois University,1953,Phenix City,Alabama
Dave Meyers,203,97,"University of California, Los Angeles",1953,San Diego,California
Frank Oleynick,188,83,Seattle University,1955,Bridgeport,Connecticut
Cliff Pondexter,206,105,"California State University, Long Beach",1954,Fresno,California
Bill Robinzine,201,104,DePaul University,1953,Chicago,Illinois
John Roche,190,77,University of South Carolina,1949,New York,New York
Bruce Seals,203,95,Xavier University of Louisiana,1953,New Orleans,Louisiana
Ed Searcy,198,95,St. John's University,1952,New York,New York
Gene Short,198,90,Jackson State University,1953,Macon,Mississippi
John Shumate,206,106,University of Notre Dame,1952,Greenville,South Carolina
Ricky Sobers,190,89,"University of Nevada, Las Vegas",1953,Bronx,New York
Terry Thomas,203,99,University of Detroit Mercy,1953,Detroit,Michigan
Rudy White,188,88,Arizona State University,1953,Silver City,New Mexico
Gus Williams,188,79,University of Southern California,1953,Mount Vernon,New York
Bill Willoughby,203,92,,1957,Englewood,New Jersey
Tom Abernethy,201,99,Indiana University,1954,South Bend,Indiana
Bird Averitt,185,77,Pepperdine University,1952,Hopkinsville,Kentucky
Tom Barker,211,102,University of Hawaii,1955,Harlingen,Texas
Marvin Barnes,203,95,Providence College,1952,Providence,Rhode Island
Norton Barnhill,193,92,Washington State University,1953,Winston-Salem,North Carolina
Mike Barr,190,81,Duquesne University,1950,Canton,Ohio
Tim Bassett,203,102,University of Georgia,1951,Washington,District of Columbia
Byron Beck,206,102,University of Denver,1945,Ellensburg,Washington
Mel Bennett,201,90,University of Pittsburgh,1955,Pittsburgh,Pennsylvania
Ron Boone,188,90,Idaho State University,1946,Oklahoma City,Oklahoma
Quinn Buckner,190,86,Indiana University,1954,Phoenix,Illinois
Ticky Burden,188,83,University of Utah,1953,Haines City,Florida
Don Buse,193,86,University of Evansville,1950,Huntingburg,Indiana
Mack Calvin,183,74,University of Southern California,1947,Fort Worth,Texas
M.L. Carr,183,74,,1947,,
Cornelius Cash,203,97,Bowling Green State University,1952,Macon,Mississippi
Norm Cook,203,95,University of Kansas,1955,Chicago,Illinois
Louie Dampier*,183,77,University of Kentucky,1944,Indianapolis,Indiana
Mel Daniels*,206,99,University of New Mexico,1944,Detroit,Michigan
Adrian Dantley*,196,94,University of Notre Dame,1956,Washington,District of Columbia
Johnny Davis,188,77,University of Dayton,1955,Detroit,Michigan
Ron Davis,198,89,Washington State University,1954,Phoenix,Arizona
Randy Denton,208,108,Duke University,1949,Raleigh,North Carolina
Coby Dietrick,208,99,San Jose State University,1948,Riverside,California
Leon Douglas,208,104,University of Alabama,1954,Leighton,Alabama
Mike Dunleavy,190,81,University of South Carolina,1954,Brooklyn,New York
Jim Eakins,211,97,Brigham Young University,1946,Sacramento,California
Len Elmore,206,99,University of Maryland,1952,New York,New York
Darrell Elston,193,86,University of North Carolina,1952,Tipton,Indiana
Alex English*,201,86,University of South Carolina,1954,Columbia,South Carolina
Julius Erving*,201,95,University of Massachusetts Amherst,1950,Roosevelt,New York
Butch Feher,193,83,Vanderbilt University,1954,Flint,Michigan
Mike Flynn,188,81,University of Kentucky,1953,Casablanca,Morocco
Terry Furlow,193,86,Michigan State University,1954,Flint,Michigan
Mike Gale,193,83,Elizabeth City State University,1950,Philadelphia,Pennsylvania
Gus Gerard,203,90,University of Virginia,1953,Uniontown,Pennsylvania
George Gervin*,201,81,Eastern Michigan University,1952,Detroit,Michigan
Artis Gilmore*,218,108,Jacksonville University,1949,Chipley,Florida
Mike Green,208,90,Louisiana Tech University,1951,McComb,Mississippi
Steve Green,201,99,Indiana University,1953,Madison,Wisconsin
Paul Griffin,206,92,Western Michigan University,1954,Shelby,Michigan
Rudy Hackett,206,95,Syracuse University,1953,Mount Vernon,New York
Phil Hicks,201,92,Tulane University,1953,Chicago,Illinois
Armond Hill,193,86,Princeton University,1953,Brooklyn,New York
Darnell Hillman,206,97,San Jose State University,1949,Sacramento,California
Mo Howard,188,77,University of Maryland,1954,Philadelphia,Pennsylvania
Kim Hughes,211,99,University of Wisconsin,1952,Freeport,Illinois
Dan Issel*,206,106,University of Kentucky,1948,Batavia,Illinois
Dennis Johnson*,193,83,Pepperdine University,1954,San Pedro,California
Bobby Jones,206,95,University of North Carolina,1951,Charlotte,North Carolina
Caldwell Jones,211,98,Albany State University,1950,McGehee,Arkansas
Rich Jones,198,99,University of Memphis,1946,Memphis,Tennessee
Robin Jones,206,102,Saint Louis University,1954,St. Louis,Missouri
Wil Jones,190,83,Northwestern University,1936,,
George Karl,190,83,University of North Carolina,1952,Penn Hills,Pennsylvania
Goo Kennedy,196,92,Texas Christian University,1949,Charlotte,North Carolina
Larry Kenon,206,92,University of Memphis,1952,Birmingham,Alabama
Billy Knight,198,88,University of Pittsburgh,1952,Braddock,Pennsylvania
Mitch Kupchak,206,104,University of North Carolina,1954,Hicksville,New York
Bo Lamar,185,81,University of Louisiana at Lafayette,1951,Columbus,Ohio
Ron Lee,193,87,University of Oregon,1952,Boston,Massachusetts
Scott Lloyd,208,104,Arizona State University,1952,Chicago,Illinois
John Lucas,190,79,University of Maryland,1953,Durham,North Carolina
Maurice Lucas,206,97,Marquette University,1952,Pittsburgh,Pennsylvania
Moses Malone*,208,97,,1955,Petersburg,Virginia
Scott May,201,97,Indiana University,1954,Sandusky,Ohio
Andre McCarter,190,86,"University of California, Los Angeles",1953,Philadelphia,Pennsylvania
Ted McClain,185,81,Tennessee State University,1946,Nashville,Tennessee
Allen Murphy,196,86,University of Louisville,1952,Birmingham,Alabama
Swen Nater,211,108,"University of California, Los Angeles",1950,Denhelder,Netherlands
Johnny Neumann,198,90,University of Mississippi,1951,Memphis,Tennessee
Mark Olberding,203,102,University of Minnesota,1956,Melrose,Minnesota
Tom Owens,208,97,University of South Carolina,1949,Bronx,New York
Joe Pace,208,99,Coppin State University,1953,New Brunswick,New Jersey
Robert Parish*,213,104,Centenary College of Louisiana,1953,Shreveport,Louisiana
Sonny Parker,198,90,Texas A&M University,1955,Chicago,Illinois
Billy Paultz,211,106,St. John's University,1948,River Edge,New Jersey
Marv Roberts,203,90,Utah State University,1950,Brooklyn,New York
Dave Robisch,208,106,University of Kansas,1949,Cincinnati,Ohio
Marshall Rogers,185,86,University of Texas-Pan American,1953,St. Louis,Missouri
Dan Roundfield,203,92,Central Michigan University,1953,Detroit,Michigan
Phil Sellers,193,88,Rutgers University,1953,Brooklyn,New York
Lonnie Shelton,203,108,Oregon State University,1955,Bakersfield,California
James Silas,185,81,Stephen F. Austin State University,1949,Tallulah,Louisiana
Ralph Simpson,196,90,Michigan State University,1949,Detroit,Michigan
Al Skinner,190,86,University of Massachusetts Amherst,1952,Mount Vernon,New York
Willie Smith,213,99,Syracuse University,1949,,
Keith Starr,198,86,University of Pittsburgh,1954,Sewickley,Pennsylvania
Earl Tatum,196,83,Marquette University,1953,Mount Vernon,New York
Brian Taylor,188,83,Princeton University,1951,Perth Amboy,New Jersey
Fatty Taylor,183,79,La Salle University,1946,Washington,District of Columbia
Ira Terrell,203,90,Southern Methodist University,1954,Dallas,Texas
Claude Terry,193,88,Stanford University,1950,Salida,California
David Thompson*,193,88,North Carolina State University,1954,Shelby,North Carolina
Monte Towe,170,68,North Carolina State University,1953,Marion,Indiana
Dave Twardzik,185,79,Old Dominion University,1950,Hershey,Pennsylvania
Jan Van,185,79,,1950,,
Andy Walker,193,86,Niagara University,1955,Long Island City,New York
Wally Walker,201,86,University of Virginia,1954,Millersville,Pennsylvania
Lloyd Walton,183,72,Marquette University,1953,Chicago,Illinois
Henry Ward,193,88,Jackson State University,1952,Jackson,Mississippi
Richard Washington,211,99,"University of California, Los Angeles",1955,Portland,Oregon
Marvin Webster,216,102,Morgan State University,1952,Baltimore,Maryland
Bob Wilkerson,198,88,Indiana University,1954,Anderson,Indiana
Chuck Williams,183,74,Seattle University,1943,Colorado Springs,Colorado
Chuckie Williams,183,74,Seattle University,1943,Colorado Springs,Colorado
John Williamson,188,83,New Mexico State University,1951,New Haven,Connecticut
Willie Wise,196,95,Drake University,1947,San Francisco,California
Larry Wright,185,72,Grambling State University,1954,Monroe,Louisiana
Tate Armstrong,190,79,Duke University,1955,Moultrie,Georgia
Greg Ballard,201,97,University of Oregon,1955,Los Angeles,California
Kent Benson,208,106,Indiana University,1954,New Castle,Indiana
Otis Birdsong,190,86,University of Houston,1955,Winter Haven,Florida
Phil Bond,188,79,University of Louisville,1954,Louisville,Kentucky
Jim Bostic,201,102,New Mexico State University,1953,Brooklyn,New York
Alonzo Bradley,198,86,Texas Southern University,1953,Utica,Mississippi
Mike Bratz,188,83,Stanford University,1955,Lompoc,California
Wayman Britt,188,83,University of Michigan,1952,Wilson Mills,North Carolina
Kenny Carr,201,99,North Carolina State University,1955,Washington,District of Columbia
Bob Carrington,198,88,Boston College,1953,Brookline,Massachusetts
Wesley Cox,198,97,University of Louisville,1955,Louisville,Kentucky
Charlie Criss,173,74,New Mexico State University,1948,Valhalla,New York
Mark Crow,201,95,Duke University,1954,Edwards AFB,California
Brad Davis,190,81,University of Maryland,1955,Monaca,Pennsylvania
Walter Davis,203,92,Texas A&M University,1931,Beaumont,Texas
Jacky Dorsey,201,104,University of Georgia,1954,Atlanta,Georgia
T.R. Dunn,201,104,,1954,,
James Edwards,213,102,University of Washington,1955,Seattle,Washington
Bo Ellis,196,83,Niagara University,1936,,
Al Fleming,201,97,University of Arizona,1954,Chicago,Illinois
Bayard Forrest,208,106,Grand Canyon University,1954,San Jose,California
Mike Glenn,188,79,Southern Illinois University,1955,Rome,Georgia
Glen Gondrezick,198,98,"University of Nevada, Las Vegas",1955,Boulder,Colorado
Rickey Green,183,77,University of Michigan,1954,Chicago,Illinois
Greg Griffin,201,86,Idaho State University,1952,Cleveland,Ohio
Ernie Grunfeld,198,95,University of Tennessee,1955,Satu-Mare,Romania
Joe Hassett,196,81,Providence College,1955,Providence,Rhode Island
Eddie Johnson,203,92,Tennessee State University,1944,Atlanta,Georgia
Larry Johnson,190,92,University of Kentucky,1954,Morganfield,Kentucky
Marques Johnson,201,98,"University of California, Los Angeles",1956,Nachitoches,Louisiana
Eddie Jordan,185,77,Rutgers University,1955,Washington,District of Columbia
Bernard King*,201,92,University of Tennessee,1956,Brooklyn,New York
Toby Knight,206,95,University of Notre Dame,1955,Bronx,New York
John Kuester,188,81,University of North Carolina,1955,Richmond,Virginia
Tom LaGarde,208,99,University of North Carolina,1955,Detroit,Michigan
Mark Landsberger,203,97,Arizona State University,1955,Minot,North Dakota
Rich Laurel,198,86,Hofstra University,1954,Philadelphia,Pennsylvania
Ricky Marsh,190,90,Manhattan College,1954,New York,New York
Cedric Maxwell,203,92,University of North Carolina at Charlotte,1955,Kinston,North Carolina
Larry Moffett,203,95,"University of Nevada, Las Vegas",1954,Mobile,Alabama
Glenn Mosley,203,88,Seton Hall University,1955,Newark,New Jersey
Norm Nixon,188,77,Duquesne University,1955,Macon,Georgia
Eddie Owens,201,95,"University of Nevada, Las Vegas",1953,,
Ben Poquette,206,106,Central Michigan University,1955,Ann Arbor,Michigan
Robert Reid,203,92,St. Mary's University,1955,Atlanta,Georgia
Anthony Roberts,196,83,Oral Roberts University,1955,Chattanooga,Tennessee
Tony Robertson,193,88,West Virginia University,1956,Detroit,Michigan
Tree Rollins,216,106,Clemson University,1955,Winter Haven,Florida
Alvin Scott,201,83,Oral Roberts University,1955,Cleveland,Tennessee
Steve Sheppard,198,97,University of Maryland,1954,New York,New York
Jack Sikma,211,104,Illinois Wesleyan University,1955,Kankakee,Illinois
Scott Sims,185,77,University of Missouri,1955,Kirksville,Missouri
Robert Smith,180,74,"University of Nevada, Las Vegas",1955,Los Angeles,California
Phil Walker,190,81,Millersville University of Pennsylvania,1956,Philadelphia,Pennsylvania
Wilson Washington,206,102,Old Dominion University,1955,Norfolk,Virginia
Ray Williams,190,85,University of Minnesota,1954,Mount Vernon,New York
Kim Anderson,201,90,University of Missouri,1955,Sedalia,Missouri
Del Beshore,180,74,California University of Pennslyvania,1956,Mechanicsburg,Pennsylvania
Dennis Boyd,185,79,University of Detroit Mercy,1954,Portsmouth,Virginia
Winford Boynes,198,83,University of San Francisco,1957,Greenville,South Carolina
Ron Brewer,193,81,University of Arkansas,1955,Fort Smith,Arkansas
Greg Bunch,198,86,"California State University, Fullerton",1956,San Bernardino,California
Marty Byrnes,201,97,Syracuse University,1956,Syracuse,New York
Ron Carter,196,86,Virginia Military Institute,1956,Pittsburgh,Pennsylvania
Maurice Cheeks,185,81,West Texas A&M University,1956,Chicago,Illinois
Michael Cooper,196,77,University of New Mexico,1956,Los Angeles,California
Wayne Cooper,208,99,University of New Orleans,1956,Milan,Georgia
Dave Corzine,211,113,DePaul University,1956,Arlington Heights,Illinois
Geoff Crompton,211,127,University of North Carolina,1955,Burlington,North Carolina
Harry Davis,201,99,Florida State University,1956,Cleveland,Ohio
Bob Elliott,206,102,University of Arizona,1955,Ann Arbor,Michigan
Ray Epps,198,88,Norfolk State University,1956,Amelia,Virginia
Phil Ford,188,79,University of North Carolina,1956,Rocky Mount,North Carolina
Jack Givens,196,92,University of Kentucky,1956,Lexington,Kentucky
Tommie Green,188,83,Southern University and A&M College,1956,Baton Rouge,Louisiana
Lars Hansen,208,102,University of Washington,1954,Copenhagen,Denmark
James Hardy,203,99,University of San Francisco,1956,Knoxville,Alabama
Keith Herron,198,88,Villanova University,1956,Memphis,Tennessee
Kenny Higgs,183,81,Louisiana State University,1955,Owensboro,Kentucky
Essie Hollis,198,88,St. Bonaventure University,1955,Erie,Pennsylvania
